『	記号,括弧開,*,*,*,*,『,『,『
狙わ	動詞,自立,*,*,五段・ワ行促音便,未然形,狙う,ネラワ,ネラワ
れ	動詞,接尾,*,*,一段,未然形,れる,レ,レ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
はず	名詞,非自立,一般,*,*,*,はず,ハズ,ハズ
も	助詞,係助詞,*,*,*,*,も,モ,モ
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
、	記号,読点,*,*,*,*,、,、,、
日本の政治	名詞,固有名詞,一般,*,*,*,日本の政治,ニッポンノセイジ,ニッポンノセイジ
家	名詞,接尾,一般,*,*,*,家,カ,カ
、	記号,読点,*,*,*,*,、,、,、
財政家	名詞,固有名詞,人名,一般,*,*,財政家,ザイセイカ,ザイセイカ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
軍人	名詞,一般,*,*,*,*,軍人,グンジン,グンジン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
こぞって	副詞,助詞類接続,*,*,*,*,こぞって,コゾッテ,コゾッテ
、	記号,読点,*,*,*,*,、,、,、
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
持と	動詞,自立,*,*,五段・タ行,未然ウ接続,持つ,モト,モト
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
有名	名詞,形容動詞語幹,*,*,*,*,有名,ユウメイ,ユーメイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
人物	名詞,一般,*,*,*,*,人物,ジンブツ,ジンブツ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
伊藤博文	名詞,固有名詞,人名,一般,*,*,伊藤博文,イトウヒロブミ,イトーヒロブミ
、	記号,読点,*,*,*,*,、,、,、
渋沢栄一	名詞,固有名詞,人名,一般,*,*,渋沢栄一,シブサワエイイチ,シブサワエイーチ
、	記号,読点,*,*,*,*,、,、,、
後藤象二郎	名詞,固有名詞,一般,*,*,*,後藤象二郎,ゴトウショウジロウ,ゴトーショージロー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
挙げ	動詞,自立,*,*,一段,未然形,挙げる,アゲ,アゲ
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル
。	記号,句点,*,*,*,*,。,。,。
しかし	接続詞,*,*,*,*,*,しかし,シカシ,シカシ
、	記号,読点,*,*,*,*,、,、,、
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
唯一	名詞,一般,*,*,*,*,唯一,ユイイツ,ユイイツ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
愛し	動詞,自立,*,*,五段・サ行,連用形,愛す,アイシ,アイシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
人物	名詞,一般,*,*,*,*,人物,ジンブツ,ジンブツ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
その	連体詞,*,*,*,*,*,その,ソノ,ソノ
人物	名詞,一般,*,*,*,*,人物,ジンブツ,ジンブツ
こそ	助詞,係助詞,*,*,*,*,こそ,コソ,コソ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
玄洋社	名詞,固有名詞,組織,*,*,*,玄洋社,ゲンヨウシャ,ゲンヨーシャ
総帥	名詞,一般,*,*,*,*,総帥,ソウスイ,ソースイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
頭山満	名詞,固有名詞,人名,一般,*,*,頭山満,トウヤマミツル,トーヤマミツル
（	記号,括弧開,*,*,*,*,（,（,（
とうや	名詞,サ変接続,*,*,*,*,とうや,トウヤ,トーヤ
ま	フィラー,*,*,*,*,*,ま,マ,マ
みつる	名詞,固有名詞,人名,名,*,*,みつる,ミツル,ミツル
）	記号,括弧閉,*,*,*,*,）,）,）
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
頭山	名詞,固有名詞,人名,姓,*,*,頭山,トウヤマ,トーヤマ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
影	名詞,一般,*,*,*,*,影,カゲ,カゲ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
フィクサー	名詞,固有名詞,一般,*,*,*,enThe Fixer,フィクサー,フィクサー
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
も	助詞,係助詞,*,*,*,*,も,モ,モ
言える	動詞,自立,*,*,一段,基本形,言える,イエル,イエル
存在	名詞,サ変接続,*,*,*,*,存在,ソンザイ,ソンザイ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あり	助動詞,*,*,*,五段・ラ行アル,連用形,ある,アリ,アリ
、	記号,読点,*,*,*,*,、,、,、
上記	名詞,一般,*,*,*,*,上記,ジョウキ,ジョーキ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
3人	名詞,固有名詞,一般,*,*,*,3人,サンニン,サンニン
も	助詞,係助詞,*,*,*,*,も,モ,モ
恐れ	名詞,一般,*,*,*,*,恐れ,オソレ,オソレ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
なす	動詞,自立,*,*,五段・サ行,基本形,なす,ナス,ナス
ほど	助詞,副助詞,*,*,*,*,ほど,ホド,ホド
の	助詞,連体化,*,*,*,*,の,ノ,ノ
人物	名詞,一般,*,*,*,*,人物,ジンブツ,ジンブツ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
2人	名詞,固有名詞,一般,*,*,*,2人,フタリ,フタリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
出会い	名詞,一般,*,*,*,*,出会い,デアイ,デアイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
1890年	名詞,固有名詞,一般,*,*,*,1890年,センハッピャクキュウジュウネン,センハッピャクキュウジュウネン
、	記号,読点,*,*,*,*,、,、,、
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
夫	名詞,一般,*,*,*,*,夫,オット,オット
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
小田	名詞,固有名詞,人名,姓,*,*,小田,オダ,オダ
貴雄	名詞,固有名詞,人名,名,*,*,貴雄,タカオ,タカオ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
離婚	名詞,サ変接続,*,*,*,*,離婚,リコン,リコン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
、	記号,読点,*,*,*,*,、,、,、
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
新橋	名詞,一般,*,*,*,*,新橋,シンバシ,シンバシ
にて	助詞,格助詞,一般,*,*,*,にて,ニテ,ニテ
芸妓	名詞,一般,*,*,*,*,芸妓,ゲイギ,ゲイギ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
働き	動詞,自立,*,*,五段・カ行イ音便,連用形,働く,ハタラキ,ハタラキ
始め	動詞,非自立,*,*,一段,連用形,始める,ハジメ,ハジメ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ころ	名詞,非自立,副詞可能,*,*,*,ころ,コロ,コロ
、	記号,読点,*,*,*,*,、,、,、
枡田	名詞,固有名詞,人名,姓,*,*,枡田,マスダ,マスダ
屋	名詞,接尾,一般,*,*,*,屋,ヤ,ヤ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
主人	名詞,一般,*,*,*,*,主人,シュジン,シュジン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
紹介	名詞,サ変接続,*,*,*,*,紹介,ショウカイ,ショーカイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
受け	動詞,自立,*,*,一段,連用形,受ける,ウケ,ウケ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
頭山	名詞,固有名詞,人名,姓,*,*,頭山,トウヤマ,トーヤマ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
彼女	名詞,代名詞,一般,*,*,*,彼女,カノジョ,カノジョ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
一目ぼれ	名詞,固有名詞,一般,*,*,*,一目ぼれ,ヒトメボレ,ヒトメボレ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
始まっ	動詞,自立,*,*,五段・ラ行,連用タ接続,始まる,ハジマッ,ハジマッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
も	助詞,係助詞,*,*,*,*,も,モ,モ
頭山	名詞,固有名詞,人名,姓,*,*,頭山,トウヤマ,トーヤマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
魅力	名詞,一般,*,*,*,*,魅力,ミリョク,ミリョク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
惹か	動詞,自立,*,*,五段・カ行イ音便,未然形,惹く,ヒカ,ヒカ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
2人	名詞,固有名詞,一般,*,*,*,2人,フタリ,フタリ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
相思相愛	名詞,一般,*,*,*,*,相思相愛,ソウシソウアイ,ソーシソーアイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
、	記号,読点,*,*,*,*,、,、,、
料亭	名詞,一般,*,*,*,*,料亭,リョウテイ,リョーテイ
「	記号,括弧開,*,*,*,*,「,「,「
浜の	名詞,固有名詞,地域,一般,*,*,浜の,ハマノ,ハマノ
屋	名詞,接尾,一般,*,*,*,屋,ヤ,ヤ
」	記号,括弧閉,*,*,*,*,」,」,」
で	助詞,格助詞,一般,*,*,*,で,デ,デ
よく	副詞,一般,*,*,*,*,よく,ヨク,ヨク
蜜月	名詞,一般,*,*,*,*,蜜月,ミツゲツ,ミツゲツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
過ごす	動詞,自立,*,*,五段・サ行,基本形,過ごす,スゴス,スゴス
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
ある時	名詞,一般,*,*,*,*,ある時,アルトキ,アルトキ
、	記号,読点,*,*,*,*,、,、,、
伊藤博文	名詞,固有名詞,人名,一般,*,*,伊藤博文,イトウヒロブミ,イトーヒロブミ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
お座敷	名詞,一般,*,*,*,*,お座敷,オザシキ,オザシキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
呼ぼ	動詞,自立,*,*,五段・バ行,未然ウ接続,呼ぶ,ヨボ,ヨボ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
断ら	動詞,自立,*,*,五段・ラ行,未然形,断る,コトワラ,コトワラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
「	記号,括弧開,*,*,*,*,「,「,「
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
来る	動詞,自立,*,*,カ変・来ル,基本形,来る,クル,クル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
？	記号,一般,*,*,*,*,？,？,？
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
問う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,問う,トウ,トウ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
「	記号,括弧開,*,*,*,*,「,「,「
頭山	名詞,固有名詞,人名,姓,*,*,頭山,トウヤマ,トーヤマ
さま	名詞,接尾,人名,*,*,*,さま,サマ,サマ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
見え	名詞,一般,*,*,*,*,見え,ミエ,ミエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
聞い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
伊藤	名詞,固有名詞,人名,姓,*,*,伊藤,イトウ,イトー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
すぐさま	副詞,一般,*,*,*,*,すぐさま,スグサマ,スグサマ
浜の	名詞,固有名詞,地域,一般,*,*,浜の,ハマノ,ハマノ
屋	名詞,接尾,一般,*,*,*,屋,ヤ,ヤ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
伊藤博文	名詞,固有名詞,人名,一般,*,*,伊藤博文,イトウヒロブミ,イトーヒロブミ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
頭山	名詞,固有名詞,人名,姓,*,*,頭山,トウヤマ,トーヤマ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
蛇蝎	名詞,一般,*,*,*,*,蛇蝎,ダカツ,ダカツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
如く	名詞,一般,*,*,*,*,如く,ゴトク,ゴトク
恐れ	動詞,自立,*,*,一段,連用形,恐れる,オソレ,オソレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
、	記号,読点,*,*,*,*,、,、,、
頭山	名詞,固有名詞,人名,姓,*,*,頭山,トウヤマ,トーヤマ
も	助詞,係助詞,*,*,*,*,も,モ,モ
後年	名詞,副詞可能,*,*,*,*,後年,コウネン,コーネン
「	記号,括弧開,*,*,*,*,「,「,「
伊藤	名詞,固有名詞,人名,姓,*,*,伊藤,イトウ,イトー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
最後	名詞,一般,*,*,*,*,最後,サイゴ,サイゴ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なら	動詞,自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
つぶやく	動詞,自立,*,*,五段・カ行イ音便,基本形,つぶやく,ツブヤク,ツブヤク
ほど	助詞,副助詞,*,*,*,*,ほど,ホド,ホド
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ
相思相愛	名詞,一般,*,*,*,*,相思相愛,ソウシソウアイ,ソーシソーアイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
頭山	名詞,固有名詞,人名,姓,*,*,頭山,トウヤマ,トーヤマ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あっ	助動詞,*,*,*,五段・ラ行アル,連用タ接続,ある,アッ,アッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
1896年	名詞,固有名詞,一般,*,*,*,1896年,センハッピャクキュウジュウロクネ,センハッピャクキュウジュウロクネ
、	記号,読点,*,*,*,*,、,、,、
2人	名詞,固有名詞,一般,*,*,*,2人,フタリ,フタリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
突如	副詞,助詞類接続,*,*,*,*,突如,トツジョ,トツジョ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
終わり	動詞,非自立,*,*,五段・ラ行,連用形,終わる,オワリ,オワリ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
迎える	動詞,自立,*,*,一段,基本形,迎える,ムカエル,ムカエル
。	記号,句点,*,*,*,*,。,。,。
詳しい	形容詞,自立,*,*,形容詞・イ段,基本形,詳しい,クワシイ,クワシイ
理由	名詞,一般,*,*,*,*,理由,リユウ,リユー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
不明	名詞,形容動詞語幹,*,*,*,*,不明,フメイ,フメイ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
一説	名詞,一般,*,*,*,*,一説,イッセツ,イッセツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
よれ	動詞,自立,*,*,五段・ラ行,仮定形,よる,ヨレ,ヨレ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
、	記号,読点,*,*,*,*,、,、,、
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
頭山	名詞,固有名詞,人名,姓,*,*,頭山,トウヤマ,トーヤマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
寵愛	名詞,サ変接続,*,*,*,*,寵愛,チョウアイ,チョーアイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
受け	動詞,自立,*,*,一段,連用形,受ける,ウケ,ウケ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
も	助詞,係助詞,*,*,*,*,も,モ,モ
関わら	動詞,自立,*,*,五段・ラ行,未然形,関わる,カカワラ,カカワラ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
、	記号,読点,*,*,*,*,、,、,、
家橘	名詞,固有名詞,人名,名,*,*,家橘,カキツ,カキツ
という	助詞,格助詞,連語,*,*,*,という,トイウ,トユウ
役者	名詞,一般,*,*,*,*,役者,ヤクシャ,ヤクシャ
（	記号,括弧開,*,*,*,*,（,（,（
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
15代	名詞,固有名詞,一般,*,*,*,15代,ジュウゴダイ,ジュウゴダイ
市村羽左衛門	名詞,固有名詞,人名,一般,*,*,市村羽左衛門,イチムラウザエモン,イチムラウザエモン
）	記号,括弧閉,*,*,*,*,）,）,）
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
情夫	名詞,一般,*,*,*,*,情夫,ジョウフ,ジョーフ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
原因	名詞,一般,*,*,*,*,原因,ゲンイン,ゲンイン
と	助詞,格助詞,引用,*,*,*,と,ト,ト
も	助詞,係助詞,*,*,*,*,も,モ,モ
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
また	接続詞,*,*,*,*,*,また,マタ,マタ
別れ	名詞,一般,*,*,*,*,別れ,ワカレ,ワカレ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
際	名詞,非自立,副詞可能,*,*,*,際,サイ,サイ
、	記号,読点,*,*,*,*,、,、,、
頭山	名詞,固有名詞,人名,姓,*,*,頭山,トウヤマ,トーヤマ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
毛髪	名詞,一般,*,*,*,*,毛髪,モウハツ,モーハツ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
短刀	名詞,一般,*,*,*,*,短刀,タントウ,タントー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
切り落とし	動詞,自立,*,*,五段・サ行,連用形,切り落とす,キリオトシ,キリオトシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
制裁	名詞,サ変接続,*,*,*,*,制裁,セイサイ,セイサイ
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
切り落とし	動詞,自立,*,*,五段・サ行,連用形,切り落とす,キリオトシ,キリオトシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
、	記号,読点,*,*,*,*,、,、,、
別れ	名詞,一般,*,*,*,*,別れ,ワカレ,ワカレ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ケジメ	名詞,一般,*,*,*,*,ケジメ,ケジメ,ケジメ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
不明	名詞,形容動詞語幹,*,*,*,*,不明,フメイ,フメイ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
以降	名詞,副詞可能,*,*,*,*,以降,イコウ,イコー
、	記号,読点,*,*,*,*,、,、,、
頭山	名詞,固有名詞,人名,姓,*,*,頭山,トウヤマ,トーヤマ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
会う	動詞,自立,*,*,五段・ワ行促音便,基本形,会う,アウ,アウ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
なくなっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なくなる,ナクナッ,ナクナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
その後	名詞,副詞可能,*,*,*,*,その後,ソノゴ,ソノゴ
、	記号,読点,*,*,*,*,、,、,、
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
つま	名詞,一般,*,*,*,*,つま,ツマ,ツマ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
役者	名詞,一般,*,*,*,*,役者,ヤクシャ,ヤクシャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
市村羽左衛門	名詞,固有名詞,人名,一般,*,*,市村羽左衛門,イチムラウザエモン,イチムラウザエモン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
